groupSize,operationCnt,role,ID,operation,time(ms),encTimes,appendMsg
128,0,recipient,0,add,0.6115,null,128
128,0,recipient,1,add,0.8396,null,128
128,0,recipient,2,add,0.8696,null,128
128,0,recipient,3,add,0.9171,null,128
128,0,recipient,4,add,0.8372,null,128
128,0,recipient,5,add,0.6165,null,128
128,0,recipient,6,add,0.6197,null,128
128,0,recipient,7,add,0.6201,null,128
128,0,recipient,8,add,0.8371,null,128
128,0,recipient,9,add,0.9413,null,128
128,0,recipient,10,add,0.8287,null,128
128,0,recipient,11,add,1.0213,null,128
128,0,recipient,12,add,0.7299,null,128
128,0,recipient,13,add,0.6234,null,128
128,0,recipient,14,add,0.8021,null,128
128,0,recipient,15,add,0.7575,null,128
128,0,recipient,16,add,0.7933,null,128
128,0,recipient,17,add,0.8428,null,128
128,0,recipient,18,add,0.8907,null,128
128,0,recipient,19,add,0.6065,null,128
128,0,recipient,20,add,0.6237,null,128
128,0,recipient,21,add,0.8453,null,128
128,0,recipient,22,add,4.3817,null,128
128,0,recipient,23,add,0.851,null,128
128,0,recipient,24,add,0.6126,null,128
128,0,recipient,25,add,0.8539,null,128
128,0,recipient,26,add,0.6127,null,128
128,0,recipient,27,add,0.6161,null,128
128,0,recipient,28,add,0.7931,null,128
128,0,recipient,29,add,0.8295,null,128
128,0,recipient,30,add,0.8161,null,128
128,0,recipient,31,add,0.8366,null,128
128,0,recipient,32,add,0.6155,null,128
128,0,recipient,33,add,0.6152,null,128
128,0,recipient,34,add,0.8702,null,128
128,0,recipient,35,add,0.7822,null,128
128,0,recipient,36,add,0.807,null,128
128,0,recipient,37,add,0.8382,null,128
128,0,recipient,38,add,0.8028,null,128
128,0,recipient,39,add,0.6119,null,128
128,0,recipient,40,add,0.6357,null,128
128,0,recipient,41,add,0.8148,null,128
128,0,recipient,42,add,0.6651,null,128
128,0,sender,43,add,0.8793,1,128
128,0,recipient,44,add,0.8278,null,128
128,0,recipient,45,add,0.6484,null,128
128,0,recipient,46,add,0.7379,null,128
128,0,recipient,47,add,0.7151,null,128
128,0,recipient,48,add,0.8508,null,128
128,0,recipient,49,add,0.8211,null,128
128,0,recipient,50,add,0.7829,null,128
128,0,recipient,51,add,0.8586,null,128
128,0,recipient,52,add,0.6216,null,128
128,0,recipient,53,add,5.2319,null,128
128,0,recipient,54,add,0.7825,null,128
128,0,recipient,55,add,0.8972,null,128
128,0,recipient,56,add,0.8678,null,128
128,0,recipient,57,add,0.7981,null,128
128,0,recipient,58,add,0.8064,null,128
128,0,recipient,59,add,0.6609,null,128
128,0,recipient,60,add,0.6434,null,128
128,0,recipient,61,add,0.841,null,128
128,0,recipient,62,add,0.7846,null,128
128,0,recipient,63,add,0.8238,null,128
128,0,recipient,64,add,0.647,null,128
128,0,recipient,65,add,0.8186,null,128
128,0,recipient,66,add,0.6318,null,128
128,0,recipient,67,add,0.6097,null,128
128,0,recipient,68,add,0.8011,null,128
128,0,recipient,69,add,0.9827,null,128
128,0,recipient,70,add,0.8047,null,128
128,0,recipient,71,add,0.6522,null,128
128,0,recipient,72,add,0.604,null,128
128,0,recipient,73,add,0.6249,null,128
128,0,recipient,74,add,0.8271,null,128
128,0,recipient,75,add,0.8351,null,128
128,0,recipient,76,add,0.982,null,128
128,0,recipient,77,add,0.8342,null,128
128,0,recipient,78,add,0.805,null,128
128,0,recipient,79,add,0.6389,null,128
128,0,recipient,80,add,0.616,null,128
128,0,recipient,81,add,0.7875,null,128
128,0,recipient,82,add,0.781,null,128
128,0,recipient,83,add,0.9867,null,128
128,0,recipient,84,add,0.6237,null,128
128,0,recipient,85,add,0.7911,null,128
128,0,recipient,86,add,0.6155,null,128
128,0,recipient,87,add,0.6144,null,128
128,0,recipient,88,add,0.8668,null,128
128,0,recipient,89,add,0.8539,null,128
128,0,recipient,90,add,216.9255,null,128
128,0,recipient,91,add,0.8424,null,128
128,0,recipient,92,add,0.6121,null,128
128,0,recipient,93,add,1.6085,null,128
128,0,recipient,94,add,0.8507,null,128
128,0,recipient,95,add,0.6119,null,128
128,0,recipient,96,add,12.6565,null,128
128,0,recipient,97,add,0.9649,null,128
128,0,recipient,98,add,0.6463,null,128
128,0,recipient,99,add,0.6152,null,128
128,0,recipient,100,add,0.6471,null,128
128,0,recipient,101,add,0.8003,null,128
128,0,recipient,102,add,0.795,null,128
128,0,recipient,103,add,0.815,null,128
128,0,recipient,104,add,0.865,null,128
128,0,recipient,105,add,0.7881,null,128
128,0,recipient,106,add,0.6456,null,128
128,0,recipient,107,add,0.6228,null,128
128,0,recipient,108,add,0.8246,null,128
128,0,recipient,109,add,0.9221,null,128
128,0,recipient,110,add,1.2472,null,128
128,0,recipient,111,add,0.8389,null,128
128,0,recipient,112,add,0.6088,null,128
128,0,recipient,113,add,0.642,null,128
