groupSize,operationCnt,role,ID,operation,time(ms),encTimes,appendMsg
16,0,recipient,0,create,1.5304,null,null
16,0,recipient,1,create,1.2989,null,null
16,0,recipient,2,create,1.6619,null,null
16,0,recipient,3,create,1.4643,null,null
16,0,sender,4,create,34.8564,15,null
16,0,recipient,5,create,2.4301,null,null
16,0,recipient,6,create,2.0306,null,null
16,0,recipient,7,create,13.3138,null,null
16,0,recipient,8,create,1.1499,null,null
16,0,recipient,9,create,1.2839,null,null
16,0,recipient,10,create,1.1733,null,null
16,0,recipient,11,create,1.0566,null,null
16,0,recipient,12,create,1.0292,null,null
16,0,recipient,13,create,1.0634,null,null
16,0,recipient,14,create,1.1229,null,null
16,0,recipient,15,create,1.0891,null,null
16,1,recipient,0,create,1.2002,null,null
16,1,recipient,1,create,1.3354,null,null
16,1,recipient,2,create,1.2473,null,null
16,1,recipient,3,create,1.0654,null,null
16,1,recipient,4,create,1.1348,null,null
16,1,recipient,5,create,1.1742,null,null
16,1,recipient,6,create,2.0144,null,null
16,1,recipient,7,create,2.7132,null,null
16,1,sender,8,create,40.5121,15,null
16,1,recipient,9,create,2.4142,null,null
16,1,recipient,10,create,2.2943,null,null
16,1,recipient,11,create,5.3753,null,null
16,1,recipient,12,create,1.7097,null,null
16,1,recipient,13,create,1.7155,null,null
16,1,recipient,14,create,2.2359,null,null
16,1,recipient,15,create,1.4904,null,null
16,2,recipient,0,create,2.4041,null,null
16,2,sender,1,create,27.9343,15,null
16,2,recipient,2,create,5.9972,null,null
16,2,recipient,3,create,2.1839,null,null
16,2,recipient,4,create,1.7629,null,null
16,2,recipient,5,create,1.7257,null,null
16,2,recipient,6,create,33.0609,null,null
16,2,recipient,7,create,1.5109,null,null
16,2,recipient,8,create,1.1544,null,null
16,2,recipient,9,create,1.0392,null,null
16,2,recipient,10,create,1.1528,null,null
16,2,recipient,11,create,1.2187,null,null
16,2,recipient,12,create,1.0259,null,null
16,2,recipient,13,create,1.0445,null,null
16,2,recipient,14,create,1.1677,null,null
16,2,recipient,15,create,1.1547,null,null
16,3,recipient,0,create,2.4638,null,null
16,3,recipient,1,create,2.1593,null,null
16,3,sender,2,create,25.8397,15,null
16,3,recipient,3,create,2.7329,null,null
16,3,recipient,4,create,1.8733,null,null
16,3,recipient,5,create,2.0085,null,null
16,3,recipient,6,create,1.9601,null,null
16,3,recipient,7,create,1.8379,null,null
16,3,recipient,8,create,2.5517,null,null
16,3,recipient,9,create,1.1121,null,null
16,3,recipient,10,create,1.129,null,null
16,3,recipient,11,create,1.4313,null,null
16,3,recipient,12,create,1.2953,null,null
16,3,recipient,13,create,1.4339,null,null
16,3,recipient,14,create,1.2694,null,null
16,3,recipient,15,create,1.2942,null,null
16,4,recipient,0,create,2.001,null,null
16,4,recipient,1,create,1.1377,null,null
16,4,recipient,2,create,1.3305,null,null
16,4,recipient,3,create,2.485,null,null
16,4,recipient,4,create,1.3007,null,null
16,4,recipient,5,create,1.4682,null,null
16,4,recipient,6,create,1.2466,null,null
16,4,recipient,7,create,1.1388,null,null
16,4,recipient,8,create,1.9247,null,null
16,4,recipient,9,create,1.9606,null,null
16,4,recipient,10,create,2.0044,null,null
16,4,recipient,11,create,1.9345,null,null
16,4,sender,12,create,13.658,15,null
16,4,recipient,13,create,2.6845,null,null
16,4,recipient,14,create,5.1028,null,null
16,4,recipient,15,create,2.4774,null,null
16,5,recipient,0,create,1.9199,null,null
16,5,recipient,1,create,4.4893,null,null
16,5,recipient,2,create,1.6998,null,null
16,5,recipient,3,create,1.96,null,null
16,5,recipient,4,create,7.4523,null,null
16,5,recipient,5,create,2.2019,null,null
16,5,recipient,6,create,3.358,null,null
16,5,sender,7,create,15.8739,15,null
16,5,recipient,8,create,3.5339,null,null
16,5,recipient,9,create,2.2115,null,null
16,5,recipient,10,create,1.1725,null,null
16,5,recipient,11,create,1.1619,null,null
16,5,recipient,12,create,1.3863,null,null
16,5,recipient,13,create,1.3633,null,null
16,5,recipient,14,create,1.308,null,null
16,5,recipient,15,create,1.3721,null,null
16,6,sender,0,create,11.8,15,null
16,6,recipient,1,create,2.7418,null,null
16,6,recipient,2,create,2.1457,null,null
16,6,recipient,3,create,2.5545,null,null
16,6,recipient,4,create,4.7294,null,null
16,6,recipient,5,create,4.7222,null,null
16,6,recipient,6,create,1.8633,null,null
16,6,recipient,7,create,1.8424,null,null
16,6,recipient,8,create,1.2125,null,null
16,6,recipient,9,create,1.1531,null,null
16,6,recipient,10,create,1.8173,null,null
16,6,recipient,11,create,1.2551,null,null
16,6,recipient,12,create,1.2685,null,null
16,6,recipient,13,create,1.2551,null,null
16,6,recipient,14,create,1.1526,null,null
16,6,recipient,15,create,2.5085,null,null
16,7,recipient,0,create,2.5552,null,null
