groupSize,operationCnt,role,ID,operation,time(ms),encTimes,appendMsg
32,0,recipient,0,update,1.8717,null,null
32,0,recipient,1,update,1.8123,null,null
32,0,recipient,2,update,2.7934,null,null
32,0,recipient,3,update,1.7779,null,null
32,0,recipient,4,update,1.5188,null,null
32,0,recipient,5,update,1.5175,null,null
32,0,recipient,6,update,1.7591,null,null
32,0,recipient,7,update,1.714,null,null
32,0,recipient,8,update,2.4743,null,null
32,0,recipient,9,update,2.481,null,null
32,0,recipient,10,update,2.2727,null,null
32,0,recipient,11,update,2.024,null,null
32,0,recipient,12,update,3.582,null,null
32,0,sender,13,update,16.8102,24,null
32,0,recipient,14,update,2.8849,null,null
32,0,recipient,15,update,2.9453,null,null
32,0,recipient,16,update,1.2341,null,null
32,0,recipient,17,update,1.0668,null,null
32,0,recipient,18,update,1.0125,null,null
32,0,recipient,19,update,1.0399,null,null
32,0,recipient,20,update,1.2196,null,null
32,0,recipient,21,update,1.3295,null,null
32,0,recipient,22,update,1.2523,null,null
32,0,recipient,23,update,1.1798,null,null
32,0,recipient,24,update,1.0229,null,null
32,0,recipient,25,update,1.0369,null,null
32,0,recipient,26,update,1.2176,null,null
32,0,recipient,27,update,1.0686,null,null
32,0,recipient,28,update,1.1977,null,null
32,0,recipient,29,update,1.1803,null,null
32,0,recipient,30,update,1.0771,null,null
32,0,recipient,31,update,1.037,null,null
32,1,recipient,0,update,1.1542,null,null
32,1,recipient,1,update,1.1417,null,null
32,1,recipient,2,update,1.2075,null,null
32,1,recipient,3,update,1.1406,null,null
32,1,recipient,4,update,1.0754,null,null
32,1,recipient,5,update,1.0167,null,null
32,1,recipient,6,update,1.0886,null,null
32,1,recipient,7,update,1.165,null,null
32,1,recipient,8,update,1.1842,null,null
32,1,recipient,9,update,1.1692,null,null
32,1,recipient,10,update,0.9967,null,null
32,1,recipient,11,update,1.0166,null,null
32,1,recipient,12,update,1.0119,null,null
32,1,recipient,13,update,1.1291,null,null
32,1,recipient,14,update,1.1721,null,null
32,1,recipient,15,update,1.1571,null,null
32,1,recipient,16,update,2.3832,null,null
32,1,recipient,17,update,2.3542,null,null
32,1,recipient,18,update,2.0074,null,null
32,1,recipient,19,update,2.0394,null,null
32,1,sender,20,update,12.0495,16,null
32,1,recipient,21,update,3.4062,null,null
32,1,recipient,22,update,2.2918,null,null
32,1,recipient,23,update,2.9187,null,null
32,1,recipient,24,update,2.0676,null,null
32,1,recipient,25,update,1.5245,null,null
32,1,recipient,26,update,1.7458,null,null
32,1,recipient,27,update,2.002,null,null
32,1,recipient,28,update,1.7092,null,null
32,1,recipient,29,update,1.9136,null,null
32,1,recipient,30,update,1.6648,null,null
32,1,recipient,31,update,1.5223,null,null
32,2,recipient,0,update,1.1692,null,null
32,2,recipient,1,update,1.1561,null,null
32,2,recipient,2,update,1.0926,null,null
32,2,recipient,3,update,2.2729,null,null
32,2,recipient,4,update,1.0792,null,null
32,2,recipient,5,update,1.0077,null,null
32,2,recipient,6,update,1.2121,null,null
32,2,recipient,7,update,3.0585,null,null
32,2,recipient,8,update,1.3121,null,null
32,2,recipient,9,update,1.3607,null,null
32,2,recipient,10,update,1.1258,null,null
32,2,recipient,11,update,0.9972,null,null
32,2,recipient,12,update,1.0378,null,null
32,2,recipient,13,update,1.1579,null,null
32,2,recipient,14,update,1.1434,null,null
32,2,recipient,15,update,1.1202,null,null
32,2,recipient,16,update,2.005,null,null
32,2,recipient,17,update,2.0037,null,null
32,2,recipient,18,update,2.0462,null,null
32,2,recipient,19,update,6.285,null,null
32,2,recipient,20,update,2.7884,null,null
32,2,recipient,21,update,2.9514,null,null
32,2,recipient,22,update,3.5729,null,null
