groupSize,operationCnt,role,ID,operation,time(ms),encTimes,appendMsg
8,0,recipient,0,update,0.7913,null,null
8,0,recipient,1,update,0.9948,null,null
8,0,recipient,2,update,0.9066,null,null
8,0,recipient,3,update,1.0042,null,null
8,0,recipient,4,update,1.8349,null,null
8,0,sender,5,update,3.6596,4,null
8,0,recipient,6,update,0.9099,null,null
8,0,recipient,7,update,1.7243,null,null
8,1,recipient,0,update,1.3346,null,null
8,1,recipient,1,update,1.3194,null,null
8,1,recipient,2,update,1.7777,null,null
8,1,sender,3,update,3.4241,3,null
8,1,recipient,4,update,0.8974,null,null
8,1,recipient,5,update,0.9058,null,null
8,1,recipient,6,update,0.9317,null,null
8,1,recipient,7,update,0.9118,null,null
8,2,recipient,0,update,0.9483,null,null
8,2,recipient,1,update,1.334,null,null
8,2,sender,2,update,3.4784,3,null
8,2,recipient,3,update,1.2712,null,null
8,2,recipient,4,update,0.8802,null,null
8,2,recipient,5,update,0.9177,null,null
8,2,recipient,6,update,0.9968,null,null
8,2,recipient,7,update,0.9025,null,null
8,3,recipient,0,update,1.4088,null,null
8,3,recipient,1,update,1.3535,null,null
8,3,recipient,2,update,1.2614,null,null
8,3,sender,3,update,3.5835,3,null
8,3,recipient,4,update,0.6599,null,null
8,3,recipient,5,update,0.9918,null,null
8,3,recipient,6,update,0.6281,null,null
8,3,recipient,7,update,0.8956,null,null
8,4,recipient,0,update,1.3365,null,null
8,4,recipient,1,update,0.9462,null,null
8,4,recipient,2,update,1.2735,null,null
8,4,sender,3,update,3.2517,3,null
8,4,recipient,4,update,1.0065,null,null
8,4,recipient,5,update,0.8866,null,null
8,4,recipient,6,update,0.903,null,null
8,4,recipient,7,update,0.9495,null,null
8,5,recipient,0,update,0.6545,null,null
8,5,recipient,1,update,1.0377,null,null
8,5,recipient,2,update,0.9815,null,null
8,5,recipient,3,update,0.9088,null,null
8,5,recipient,4,update,1.9246,null,null
8,5,sender,5,update,2.9703,4,null
8,5,recipient,6,update,1.6072,null,null
8,5,recipient,7,update,1.3723,null,null
8,6,sender,0,update,3.5271,3,null
8,6,recipient,1,update,1.8674,null,null
8,6,recipient,2,update,1.3568,null,null
8,6,recipient,3,update,1.4264,null,null
8,6,recipient,4,update,0.6603,null,null
8,6,recipient,5,update,0.7704,null,null
8,6,recipient,6,update,0.9169,null,null
8,6,recipient,7,update,0.6288,null,null
8,7,recipient,0,update,0.8932,null,null
8,7,recipient,1,update,0.8789,null,null
8,7,recipient,2,update,0.9862,null,null
8,7,recipient,3,update,1.0139,null,null
8,7,recipient,4,update,1.7617,null,null
8,7,sender,5,update,3.7454,4,null
8,7,recipient,6,update,1.3259,null,null
8,7,recipient,7,update,1.3553,null,null
8,8,recipient,0,update,1.3762,null,null
8,8,recipient,1,update,1.7811,null,null
8,8,sender,2,update,3.4508,3,null
8,8,recipient,3,update,1.8368,null,null
8,8,recipient,4,update,0.6671,null,null
8,8,recipient,5,update,0.9172,null,null
8,8,recipient,6,update,0.9283,null,null
8,8,recipient,7,update,0.6649,null,null
8,9,recipient,0,update,1.3333,null,null
8,9,recipient,1,update,1.8947,null,null
8,9,recipient,2,update,2.0007,null,null
8,9,sender,3,update,3.6012,3,null
8,9,recipient,4,update,0.634,null,null
8,9,recipient,5,update,0.9246,null,null
8,9,recipient,6,update,0.9692,null,null
8,9,recipient,7,update,0.7516,null,null
8,10,recipient,0,update,1.3174,null,null
8,10,recipient,1,update,1.4021,null,null
8,10,recipient,2,update,1.845,null,null
8,10,sender,3,update,3.3834,3,null
8,10,recipient,4,update,0.8798,null,null
8,10,recipient,5,update,1.0001,null,null
8,10,recipient,6,update,0.9027,null,null
8,10,recipient,7,update,0.9879,null,null
8,11,sender,0,update,3.3347,3,null
8,11,recipient,1,update,1.6831,null,null
8,11,recipient,2,update,1.3496,null,null
8,11,recipient,3,update,0.9856,null,null
8,11,recipient,4,update,0.6499,null,null
8,11,recipient,5,update,0.6302,null,null
8,11,recipient,6,update,0.9938,null,null
8,11,recipient,7,update,0.6118,null,null
8,12,recipient,0,update,0.8813,null,null
8,12,recipient,1,update,0.9622,null,null
8,12,recipient,2,update,0.9199,null,null
8,12,recipient,3,update,1.0354,null,null
8,12,recipient,4,update,1.3304,null,null
8,12,recipient,5,update,1.3438,null,null
8,12,recipient,6,update,1.7645,null,null
8,12,sender,7,update,3.4463,3,null
8,13,recipient,0,update,0.9165,null,null
8,13,recipient,1,update,0.9087,null,null
8,13,recipient,2,update,0.9059,null,null
8,13,recipient,3,update,0.9159,null,null
8,13,sender,4,update,3.5943,3,null
8,13,recipient,5,update,1.2922,null,null
