groupSize,operationCnt,role,ID,operation,time(ms),encTimes,appendMsg
32,0,recipient,0,create,1.1837,null,null
32,0,recipient,1,create,1.1429,null,null
32,0,recipient,2,create,1.0952,null,null
32,0,recipient,3,create,1.316,null,null
32,0,recipient,4,create,1.088199,null,null
32,0,recipient,5,create,1.0512,null,null
32,0,recipient,6,create,1.1409,null,null
32,0,recipient,7,create,1.237,null,null
32,0,recipient,8,create,1.093601,null,null
32,0,recipient,9,create,1.2355,null,null
32,0,recipient,10,create,1.1008,null,null
32,0,recipient,11,create,1.3544,null,null
32,0,recipient,12,create,1.125401,null,null
32,0,recipient,13,create,1.2106,null,null
32,0,recipient,14,create,1.130099,null,null
32,0,recipient,15,create,1.197699,null,null
32,0,recipient,16,create,1.642199,null,null
32,0,recipient,17,create,1.5884,null,null
32,0,recipient,18,create,1.5118,null,null
32,0,recipient,19,create,1.64,null,null
32,0,recipient,20,create,1.5293,null,null
32,0,recipient,21,create,1.6152,null,null
32,0,recipient,22,create,1.650101,null,null
32,0,recipient,23,create,1.5272,null,null
32,0,recipient,24,create,1.931599,null,null
32,0,recipient,25,create,2.9251,null,null
32,0,recipient,26,create,2.1101,null,null
32,0,recipient,27,create,2.448701,null,null
32,0,recipient,28,create,2.746,null,null
32,0,recipient,29,create,2.6774,null,null
32,0,recipient,30,create,2.886301,null,null
32,0,sender,31,create,28.843399,31,null
32,1,recipient,0,create,1.720101,null,null
32,1,recipient,1,create,1.6981,null,null
32,1,recipient,2,create,1.665401,null,null
32,1,recipient,3,create,1.686699,null,null
32,1,recipient,4,create,1.6214,null,null
32,1,recipient,5,create,1.439101,null,null
32,1,recipient,6,create,1.445101,null,null
32,1,recipient,7,create,1.693201,null,null
32,1,sender,8,create,10.0666,31,null
32,1,recipient,9,create,3.5073,null,null
32,1,recipient,10,create,2.6921,null,null
32,1,recipient,11,create,2.929,null,null
32,1,recipient,12,create,1.921799,null,null
32,1,recipient,13,create,1.914201,null,null
32,1,recipient,14,create,2.178201,null,null
32,1,recipient,15,create,2.991201,null,null
32,1,recipient,16,create,1.1591,null,null
32,1,recipient,17,create,1.1669,null,null
32,1,recipient,18,create,1.035,null,null
32,1,recipient,19,create,1.0271,null,null
32,1,recipient,20,create,1.013,null,null
32,1,recipient,21,create,1.1218,null,null
32,1,recipient,22,create,1.7136,null,null
32,1,recipient,23,create,1.198299,null,null
32,1,recipient,24,create,2.3051,null,null
32,1,recipient,25,create,1.253,null,null
32,1,recipient,26,create,0.9674,null,null
32,1,recipient,27,create,1.0016,null,null
32,1,recipient,28,create,1.1123,null,null
32,1,recipient,29,create,1.2174,null,null
32,1,recipient,30,create,1.1437,null,null
32,1,recipient,31,create,1.3153,null,null
32,2,recipient,0,create,1.2792,null,null
32,2,recipient,1,create,1.203001,null,null
32,2,recipient,2,create,1.2739,null,null
32,2,recipient,3,create,1.3007,null,null
32,2,recipient,4,create,1.1329,null,null
32,2,recipient,5,create,1.0551,null,null
32,2,recipient,6,create,1.0358,null,null
32,2,recipient,7,create,1.2377,null,null
32,2,recipient,8,create,1.3919,null,null
32,2,recipient,9,create,1.1304,null,null
32,2,recipient,10,create,1.1664,null,null
32,2,recipient,11,create,1.125699,null,null
32,2,recipient,12,create,0.972099,null,null
32,2,recipient,13,create,1.3823,null,null
32,2,recipient,14,create,1.2323,null,null
32,2,recipient,15,create,1.324899,null,null
32,2,sender,16,create,10.771501,31,null
32,2,recipient,17,create,3.3471,null,null
32,2,recipient,18,create,2.9044,null,null
32,2,recipient,19,create,2.821599,null,null
32,2,recipient,20,create,1.963201,null,null
32,2,recipient,21,create,1.9612,null,null
32,2,recipient,22,create,2.2361,null,null
32,2,recipient,23,create,2.2907,null,null
32,2,recipient,24,create,1.7428,null,null
32,2,recipient,25,create,1.657801,null,null
32,2,recipient,26,create,1.4451,null,null
32,2,recipient,27,create,1.5307,null,null
32,2,recipient,28,create,1.526599,null,null
32,2,recipient,29,create,2.081899,null,null
32,2,recipient,30,create,1.7398,null,null
32,2,recipient,31,create,1.5886,null,null
32,3,sender,0,create,10.6875,31,null
32,3,recipient,1,create,2.9035,null,null
32,3,recipient,2,create,2.4307,null,null
32,3,recipient,3,create,2.7265,null,null
32,3,recipient,4,create,2.256801,null,null
32,3,recipient,5,create,2.2146,null,null
32,3,recipient,6,create,2.4046,null,null
32,3,recipient,7,create,2.2695,null,null
32,3,recipient,8,create,1.573401,null,null
32,3,recipient,9,create,1.505401,null,null
32,3,recipient,10,create,1.4867,null,null
32,3,recipient,11,create,1.7781,null,null
32,3,recipient,12,create,1.885101,null,null
32,3,recipient,13,create,1.6421,null,null
32,3,recipient,14,create,1.4631,null,null
